INCIDENT_AREA,EXACT_LOCATION,CRIME,WEAPON
Topanga,PARKING LOT,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
Southwest,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Mission,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Rampart,SINGLE FAMILY DWELLING,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
Southeast,STREET,ROBBERY,UNKNOWN FIREARM
Hollywood,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Pacific,GARAGE/CARPORT,BIKE - STOLEN,
Southeast,MOTEL,"RAPE, FORCIBLE","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
Rampart,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
Devonshire,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",CHILD ANNOYING (17YRS & UNDER),
Southeast,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
Northeast,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Hollywood,SINGLE FAMILY DWELLING,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",
Foothill,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Olympic,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Mission,SINGLE FAMILY DWELLING,DOCUMENT FORGERY / STOLEN FELONY,
77th Street,SINGLE FAMILY DWELLING,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
Olympic,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
Newton,HOSPITAL,THEFT OF IDENTITY,
Newton,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
Southwest,SINGLE FAMILY DWELLING,"RAPE, FORCIBLE","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
West LA,OTHER BUSINESS,CRIMINAL THREATS - NO WEAPON DISPLAYED,VERBAL THREAT
Rampart,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
Rampart,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
Wilshire,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",
Topanga,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
